$ ./asha-support 60_C0_BF_2F_6E_A0
loop: Initializing
Connecting to 60_C0_BF_2F_6E_A0
Connected to 60_C0_BF_2F_6E_A0
Device: /org/bluez/hci0/dev_60_C0_BF_2F_6E_A0. /org/bluez/hci0/dev_60_C0_BF_2F_6E_A0/service0021
Size: 2
Sent
Size: 17
Data (uint8): 1 0 98 3 34 51 68 85 102 119 1 0 0 0 0 2 0 
Data (hex): 1 0 62 3 22 33 44 55 66 77 1 0 0 0 0 2 0 
Version: 1
Device Capabilities(side): 0
Device Capabilities(type): 0
HiSync ID: 144115188075951974
Feature map: 0
Render delay: 25089
Reserved: 0
Supported Codecs: 0
Sent
Done.
L2CAP: Created socket 60_C0_BF_2F_6E_A0:168
L2CAP socket bound
Setting sockopts
Set recv mtu
Unable to set send mtu. Operation not permitted (1)
L2CAP: Connected to 60:C0:BF:2F:6E:A0:168
socket: 5
Writing to /org/bluez/hci0/dev_60_C0_BF_2F_6E_A0/service0021/char0025
AudioControlPoint Written
     0 | 26517243972227 | Wrote 161 bytes
sleep(19866 μs) |    284 | 26522924099452 | Wrote 161 bytes
sleep(19842 μs) |    285 | 26522944120118 | Wrote 161 bytes
sleep(19819 μs) |    286 | 26522964079944 | Wrote 161 bytes
sleep(19854 μs) |    287 | 26522984053665 | Wrote 161 bytes
sleep(19887 μs) |    288 | 26523004111915 | Wrote 161 bytes
sleep(19828 μs) |    289 | 26523024067276 | Wrote 161 bytes
sleep(19865 μs) |    290 | 26523044124431 | Wrote 161 bytes
sleep(19816 μs) |    291 | 26523064134151 | Wrote 161 bytes
sleep(19790 μs) |    292 | 26523084137838 | Wrote 161 bytes
sleep(19793 μs) |    293 | 26523104122035 | Wrote 161 bytes
sleep(19809 μs) |    294 | 26523124135477 | Wrote 161 bytes
sleep(19799 μs) |    295 | 26523144123244 | Wrote 161 bytes
sleep(19805 μs) |    296 | 26523164143351 | Wrote 161 bytes
sleep(19788 μs) |    297 | 26523184141774 | Wrote 161 bytes
sleep(19792 μs) |    298 | 26523204082851 | Wrote 161 bytes
sleep(19851 μs) |    299 | 26523224164232 | Wrote 161 bytes
sleep(19774 μs) |    300 | 26523244065722 | Wrote 161 bytes
sleep(19869 μs) |    301 | 26523264155335 | Wrote 161 bytes
sleep(19776 μs) |    302 | 26523284138563 | Wrote 161 bytes
